Item,Brand,Price,Quantity,Expiry Date
Sneakers,Nike,100.00,15,2024-04-10
Sandals,Birkenstock,80.00,10,2024-04-12
Boots,Timberland,150.00,8,2024-04-08
Flats,Steve Madden,60.00,12,2024-04-09
High Heels,Jimmy Choo,250.00,5,2024-04-11
Slippers,UGG,70.00,20,2024-04-14
Running Shoes,Adidas,120.00,18,2024-04-07
Flip Flops,Havaianas,25.00,25,2024-04-15
Dress Shoes,Cole Haan,180.00,7,2024-04-13
Work Boots,Red Wing,200.00,6,2024-04-16
Athletic Shoes,Under Armour,110.00,9,2024-04-05
Hiking Boots,Merrell,140.00,11,2024-04-18
Rain Boots,Hunter,160.00,14,2024-04-20
Loafers,Gucci,300.00,4,2024-04-22
Mules,Michael Kors,90.00,13,2024-04-25
Espadrilles,Tory Burch,130.00,16,2024-04-28
Wedge Sandals,Stuart Weitzman,200.00,8,2024-04-30
Oxfords,Clarks,110.00,10,2024-04-02
Platform Shoes,Jeffrey Campbell,150.00,6,2024-04-04
Rainbow Sandals,Rainbow,50.00,20,2024-04-06
